id,text,generated_reply,human_correctness,human_groundedness,human_helpfulness,human_relevance,human_tone,llm_correctness,llm_groundedness,used_fallback
414945,"#IOS11 @AppleSupport #apple your new update sucks !!! Everything about it, fix it, phone is so slow, many mistakes, auto correct in french👎🏻",Your new update is slowing down your phone? DM us for more info on which iPhone and iOS version you're using.,,,,,,4,5,False
2595513,"@AppleSupport Updated it a few hours ago. I hope the battery doesn’t drain out as fast as it is the case since the last few updates.
Thanks though. Will get back to you if any problem is seen.","Hi , thanks for reaching out. I've updated to iOS 11.0.3, and my battery has started to drain quickly. DM me with which device you use, and we'll take a look. We want your battery to be perfect after an update.",,,,,,4,5,False
289089,@AppleSupport @115858 You really need to fix this issue real quick.,I'm sorry to hear you're experiencing issues with your device. Can you DM me to discuss further or ask clarifying questions?,,,,,,4,5,False
2500892,"@AppleSupport My Daughter has an iPhone 6S which she updated and now can't use the front camera and the battery lasts an hour from full, what can she do. #gladigotridofmyiphone",Thanks for reaching out. Have you tried the steps outlined in  to see if the issue is resolved?,,,,,,4,5,False
1540603,@AppleSupport That is correct. Corrupt or incompatible with my phone.,"Hi , I'm happy to confirm that your iOS version is the correct one. Could you DM me with the version number so we can assist you further?",,,,,,4,5,False
1967440,Hey @115858 your latest iPhone software update totally sucks. I’d like to be able to download email on my phone again. Please fix this.,"Hi , I'm sorry to hear you're experiencing issues with the latest iPhone software update. This is not the experience we want you to have. Can you DM me so we can work together to find a solution? We're here to help.",,,,,,4,5,False
2910524,Is any one else having issues with their iPhone or is it just me? 🤦🏻‍♀️ @AppleSupport,"Hi , Sorry to hear you're experiencing issues with your iPhone. We're here to help you troubleshoot the problem. Can you please DM us with more details about the issue you're currently having? We'd be happy to assist you further.",,,,,,4,5,False
2255434,@AppleSupport any Idea why my #iphone has been transforming my “l “ into a «  ? » and changing characters especially after most recent update ?!🤔,I think I'm experiencing a similar issue where my phone is changing the letter 'l' into a 'p' with a question mark box beside it. Could you please help me troubleshoot this? DM me if you need any more info.,,,,,,4,5,False
600439,@115858 why my music keep stopping fam the x got to many problems fam,Sorry to hear that your music is stopping. I'm here to help. Can you DM me your issue so we can investigate further?,,,,,,4,5,False
87052,euh par contre c’est une vie ça de mettre à charger son téléphone mais que la batterie continue à diminuer?? @115858 jvous parle là,"nous avons besoin de l'aide de notre fournisseur de services de technologie pour aider à résoudre le problème de votre batterie. Pour plus d'informations et pour arrêter la diminution de votre batterie, veuillez contacter notre service client via Twitter en choisissant votre langue préférée, nous sommes là pour vous aider.",,,,,,4,5,False
1006712,@AppleSupport Lots of goofy things like this happen. did you guys give iOS LSD? It worked for Steve but this is a mess.,Lots of goofy things like this happen. Did you guys give iOS LSD? It worked for Steve but this is a mess. We can walk you through the troubleshooting process in a way that works for you. DM us directly here:,,,,,,4,5,False
523023,@AppleSupport hey I’m having problems with my iPhone X. It’s stuck on “setting up your Apple ID” and I cannot restart it. Please help!,hey I’m having problems with my iPhone X. It’s stuck on “setting up your Apple ID” and I cannot restart it. Please help! DM me to share details about what's happening.,,,,,,4,5,False
2064323,@AppleSupport when is the next update coming out to fix the damage 11.0.2 is causing?,I'm sorry to hear that you're experiencing issues with iOS 11.0.2. We've received your DM and will continue working with you there. Can you please DM us with any specific questions or concerns you have about the update? We're here to help and want to ensure you have the most accurate information.,,,,,,4,5,False
2144654,"@AppleSupport Ok, how do I fix “it” changing to I.T.","Ok, how do I fix “it” changing to I?",,,,,,4,5,False
1774221,How has @115858 still not fix this &gt; I️,"I'm sorry to hear you're still experiencing issues with . I understand your frustration. Can you DM me the details of your issue, including the error message you're seeing? I'd like to see if I can offer any assistance to help resolve the issue until a more permanent fix is available.",,,,,,4,5,False
1918305,@AppleSupport I've done everything you've told me to and my phone still won't update  now it keeps freezing and I can't get anything done,I'm sorry to hear that your phone is experiencing freezing issues. Can you DM me your current iOS version?,,,,,,4,5,False
