id,text,generated_reply,suggested_correctness,suggested_groundedness,suggested_helpfulness,suggested_relevance,suggested_tone,suggestion_reason
1946912,"@AppleSupport iOS 11.0.3 caused my i7 Plus to freeze, apps to crash, many more bugs. Even worse than iOS 11 when launched. Seriously @115858?",We're here to help. Can you DM us about the issue you're experiencing with iOS 11.0.3 on your i7 Plus? We'll do our best to assist you.,3.0,5.0,2.0,4.0,5.0,Polite but unhelpful response does not escalate the issue.
566729,"@AppleSupport It’s hard to tell, nothing really reaches that far when I try. I have noticed that if I want to select something I have to start above it and drag my finger down to what I’m trying to press and then it’ll work","Sorry to hear that you're experiencing issues with autocorrect. Can you DM us with a detailed description of what happens when you try to type something, like  halp, so we can better understand the issue?",3.0,5.0,2.0,4.0,5.0,Polite but vague response does not address the issue at hand.
2295347,"@115858 @AppleSupport help!! My AppleTV is stuck on ethernet mode and I cannot switch it to Wi-Fi. I tried resetting it, restarting it, and praying. Please help!! I no longer have Ethernet",Sorry to hear that your Apple TV is still stuck on Ethernet mode. Try reaching out to the Apple TV team here:  for more specific guidance. Would you like some additional troubleshooting steps?,3.0,5.0,2.0,4.0,5.0,Polite tone does not mean helpful.
2376106,I got a new phone and my iMessage or FaceTime on my laptop won’t sync to my phone. HELP ☹️ @115858,sorry to hear that your iMessage or FaceTime on your laptop isn't syncing to your phone. Our team will take a look into this for you. DM us and let us know if you'd like further assistance.,3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's specific issue.
794578,"@AppleSupport there is an issue with iOS11 ,whenever I switch on data on my iPhone 7 the internet just doesn’t work .Only upon restart works",Sorry to hear that your iPhone 7 is experiencing issues with iOS 11. It sounds like you're experiencing a common issue where Wi-Fi connectivity isn't working even when you're on cellular data. Let's try the steps in this article:  Have you tried restarting your iPhone?,3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks concrete solution and fails to address the customer's specific issue."
1002312,@AppleSupport @116333 Love this new feature of iOS 11. Can you figure out what’s wrong? https://t.co/73oRJtqgwM,Staying connected to Wi-Fi is important. We'd like to take a closer look at this with you. DM us your iOS version to proceed.,3.0,5.0,2.0,4.0,5.0,Polite but vague response does not address the customer's issue.
1107374,@AppleSupport I’ve sent you a DM.,thank you for reaching out. I've received your DM and will respond from there shortly. Can you please DM me to confirm your Apple ID issue so I can assist you further?,3.0,5.0,2.0,4.0,5.0,Polite but lacks context and clarity in the initial message.
978359,Can’t turn off speakerphone after iOS11 update. This is a joke right? @115858,Sorry to hear that you're having trouble with your iPhone's sound. We're here to help. Did you check if you're running iOS 11.1 or later? And try restarting your phone. DM us if you'd like to explore further.,3.0,5.0,2.0,4.0,5.0,Polite response does not address the customer's issue directly.
1231310,@AppleSupport I am looking to buy a few hundred tablets and am interested in the iPad Air 2.  Is this model still in production and available at this quantity?  Thanks.,"Unfortunately, the iPad Air 2 is no longer in production, and it's not available in the quantities you're looking for. Can I help you with any other questions or concerns about our current iPad models? DM us to discuss further.",3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks specificity and clarity."
1905350,"2/2 @AppleSupport 
I’m dying over here &amp; have never wanted to crush my phone so bad.",I'm sorry to hear that you're having issues with your iPhone. Can you DM me with more details about the problem you're experiencing? I'm here to help you troubleshoot and find a solution.,3.0,5.0,2.0,4.0,5.0,Polite response does not address the customer's issue directly.
2042672,"@AppleSupport iOS11 update sucks! Freezing, &amp; clock is stuck home screen",""" since iOS11 update my iPhone has been freezing & clock is stuck home screen. Which iPhone are you having this issue with? DM for further assistance.",3.0,5.0,2.0,4.0,5.0,Polite response does not address the customer's issue.
2751105,@AppleSupport Up to date with 11.1.2 🙂,"the latest update (11.1.2) might be experiencing issues with fingerprint enrollment, similar to the reported issue in 11.0.3. Can you DM me with more information about your screen's behavior?",3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks concrete information to address the customer's issue."
1589964,"Why am I seeing these little boxes with question marks in them instead of emojis? I’ve already updated my phone.

@AppleSupport","Hello, I understand you're experiencing a similar issue with boxes containing question marks instead of emojis on your device. I'd like to help you troubleshoot this. Could you please DM me with more details about your device and the apps you're using?",3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's specific issue.
857089,"@AppleSupport 
My iPhone won’t respond at all; I can’t click any apps or even turn the phone off",My iPhone won't respond at all; I can't click any apps or even turn the phone off. Can you please check if an autocorrect bug is at play? DM for further assistance,3.0,5.0,2.0,4.0,5.0,The reply is polite but lacks specific information and does not address the customer's actual issue.
2940396,"@AppleSupport thanks. the blue line at the top of the messages window starts progressing on my MacBook Pro when I hit return but then it hangs near the end. after some time it says ""not delivered"". I've tried logging in &amp; out of messages &amp; restarting computer.","Thanks. The blue line at the top of the messages window on my MacBook Pro starts progressing on my Mac when I hit return but then it hangs near the end. After some time it says ""not delivered"". I've tried logging in & out of messages & restarting computer. Please help.",3.0,5.0,2.0,4.0,5.0,"The reply does not address the customer's specific issue, instead providing general troubleshooting steps."
2301986,lm using lowercase L’s as l’s until @AppleSupport fixes this question mark shit😑,this question mark shit is driving me crazy! I'm using iOS 16 and it seems like the lower case 'l's are being auto corrected to a question mark. Can you please DM me which iOS version I'm on and tell me how to work around this issue?,3.0,5.0,2.0,4.0,5.0,Polite tone does not meet the strict evaluation criteria.
1470688,@AppleSupport DO SOMETHING @115858 https://t.co/dIDiJhhclj,we're sorry to hear you're experiencing issues with your music playback. Can you DM us with more details about what's happening?,3.0,5.0,2.0,4.0,5.0,"Generic reply does not address the customer's issue, lacks specific details, and uses a generic apology."
564052,@AppleSupport @115858 como faço para ver esse defeito já que paguei caro por um aparelho https://t.co/dqBkrHl77f,@ Pode ajudar a explicar o problema com o aparelho? Pago caro e estou procurando soluções. Vou tentar usar o botão de recuperação no meu dispositivo.,3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks specificity and clarity."
2801475,@AppleSupport 11.1.2,"Hi  11.1.2, I'm located in the USA. Can you please DM me? I'm trying to fix the issue with my iPhone.",3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's issue.
414945,"#IOS11 @AppleSupport #apple your new update sucks !!! Everything about it, fix it, phone is so slow, many mistakes, auto correct in french👎🏻","@ IOS11, I understand your frustration with the new update. I'd like to help you troubleshoot the issue with your phone being slow and experiencing mistakes. Could you DM me using the link below to provide more details about your iPhone and iOS version?",3.0,5.0,2.0,4.0,5.0,Polite but unhelpful response does not address the customer's issue.
2595513,"@AppleSupport Updated it a few hours ago. I hope the battery doesn’t drain out as fast as it is the case since the last few updates.
Thanks though. Will get back to you if any problem is seen.",Thanks for the update. I'm concerned that the battery drain issue might be related to the recent iOS updates. Can you please DM me with your device model and iOS version? We'll look into it together.,3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks specific information and does not address the customer's concern directly."
289089,@AppleSupport @115858 You really need to fix this issue real quick.,"Hi , sorry to hear you're experiencing issues with your iPhone. Can you DM us to discuss further? We're here to help you resolve the issue as quickly as possible.",3.0,5.0,2.0,4.0,5.0,Polite but unhelpful response that doesn't address the customer's issue.
2500892,"@AppleSupport My Daughter has an iPhone 6S which she updated and now can't use the front camera and the battery lasts an hour from full, what can she do. #gladigotridofmyiphone","Hi, I'm experiencing a similar issue with my daughter's iPhone 6S. The rear camera doesn't work properly and the battery life is only 1/2 hour. Can you help us troubleshoot this?",3.0,5.0,2.0,4.0,5.0,"Polite response does not address the issue, lacks specific details, and does not escalate the issue to a human support agent."
1540603,@AppleSupport That is correct. Corrupt or incompatible with my phone.,Sorry to hear that your phone isn't working as expected. Can you DM us with your current iOS version so we can look into it further?,3.0,5.0,2.0,4.0,5.0,Polite but lacks specific information about the issue.
1967440,Hey @115858 your latest iPhone software update totally sucks. I’d like to be able to download email on my phone again. Please fix this.,we understand your frustration with the latest iPhone software update. Our experienced support team is here to help you resolve this issue. Can you please DM us with more details about the email you're having trouble downloading? We'll do our best to assist you and get your iPhone up and running smoothly again.,3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's issue.
2910524,Is any one else having issues with their iPhone or is it just me? 🤦🏻‍♀️ @AppleSupport,"Hi , I understand you're experiencing issues with your iPhone. Our team is here to help. Can you please DM us with more details about the issue you're facing?",3.0,5.0,2.0,4.0,5.0,Polite but lacks specific details and does not escalate the issue properly.
2255434,@AppleSupport any Idea why my #iphone has been transforming my “l “ into a «  ? » and changing characters especially after most recent update ?!🤔,"Sorry to hear that your iPhone is displaying unusual characters and the ""I"" key brings up weird characters. We'd like to help you troubleshoot this issue. Can you please DM us to share more details? We'll assist you further.",3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's issue.
600439,@115858 why my music keep stopping fam the x got to many problems fam,can you DM me and tell me what's been happening with your music?,3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's issue.
87052,euh par contre c’est une vie ça de mettre à charger son téléphone mais que la batterie continue à diminuer?? @115858 jvous parle là,"Bonjour , je comprends votre préoccupation concernant la dégradation de la batterie et le ralentissement des claviers. Le problème est tout à fait réel et peut affecter n'importe quelle personne qui utilise un iPhone. Je vous recommande de contacter-nous via Twitter en anglais pour obtenir plus d'informations et de soutien. Si vous avez besoin de plus d'aide, n'hésitez pas à me poser d'autres questions. Je suis là pour vous aider à résoudre votre problème.",3.0,5.0,2.0,4.0,5.0,Generic reply does not address the customer's concern about the battery life and charging issues.
1006712,@AppleSupport Lots of goofy things like this happen. did you guys give iOS LSD? It worked for Steve but this is a mess.,"Unfortunately, it sounds like your iOS device is experiencing a problem that may require technical assistance. We'd like to schedule a call with one of our Apple Support experts to help resolve the issue. Would you be available for a call tomorrow at your convenience?",3.0,5.0,2.0,4.0,5.0,"Polite but unhelpful response, lacks specific details and doesn't address the customer's concern."
523023,@AppleSupport hey I’m having problems with my iPhone X. It’s stuck on “setting up your Apple ID” and I cannot restart it. Please help!,"hey can u help me with my iPhone X? it's stuck on ""setting up your Apple ID"" and I can't restart it. I saw some cases where people had similar issues and I'm having similar symptoms. I'm getting really frustrated. DM me with details about what's happening.",3.0,5.0,2.0,4.0,5.0,Polite tone does not mean helpful.
2064323,@AppleSupport when is the next update coming out to fix the damage 11.0.2 is causing?,"unfortunately, the 11.0.2 update is still under development and there is no official release date. Can you DM us with any further questions or concerns about the update?",3.0,5.0,2.0,4.0,5.0,"Polite response, but lacks specificity and clarity."
2144654,"@AppleSupport Ok, how do I fix “it” changing to I.T.",DM the iPhone you own and iOS version from Settings &gt; General &gt; About.,3.0,5.0,2.0,4.0,5.0,Incorrectly provided a DM link instead of a direct solution.
1774221,How has @115858 still not fix this &gt; I️,I'm so sorry to hear that  hasn't fixed the issue for you. I'd like to help you work around it until the next software update. Can you DM me the device and software you're currently using? I'll do my best to assist you.,3.0,5.0,2.0,4.0,5.0,Polite but unhelpful response that doesn't address the customer's issue directly.
1918305,@AppleSupport I've done everything you've told me to and my phone still won't update  now it keeps freezing and I can't get anything done,We'd be happy to help you troubleshoot the issue. Can you DM us so we can look into it together?,3.0,5.0,2.0,4.0,5.0,Polite but vague response does not address the customer's issue.
