id,text,intent,expected_action,notes,human_intent,human_action,status
545262,@AppleSupport hi I have an iPhone x that every 30 seconds or so is now re-locking itself. Even if I don’t unlock it to begin with or if I am actively using it. This fault developed in the middle of the night. Is it a known issue and what can be done to resolve? Thank you,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1470688,@AppleSupport DO SOMETHING @115858 https://t.co/dIDiJhhclj,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2144654,"@AppleSupport Ok, how do I fix “it” changing to I.T.",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,keyboard_autocorrect_bug,AUTO_HANDLE,reviewed
2015961,@115858 can you fix the letter I️ pls https://t.co/e9NP7IYTux,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1005209,So @115858 can make a phone that can read ur fingerprint And they cant make a charger that actually freakin charges?!!!,battery_issue,AUTO_HANDLE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
2229409,"@115858  what the fuck is wrong with your new ios, i slept with my phone battery percent at 45% and when i woke up it was 6% 😡😡😠",battery_issue,AUTO_HANDLE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
433077,"Email posing as Apple. 😒

@AppleSupport https://t.co/LFrZOaWQd5",scam_phishing_report,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
87052,euh par contre c’est une vie ça de mettre à charger son téléphone mais que la batterie continue à diminuer?? @115858 jvous parle là,battery_issue,AUTO_HANDLE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
1659238,@AppleSupport iPhone 7 plus,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
63200,@AppleSupport how can I add Night Mode to the control center in the new iOS?,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1020299,@AppleSupport why can’t I send MMS pictures since updating to 11.0.3? Very frustrating Online support FAQs don’t offer a real fix #help,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1502977,@AppleSupport @115858 I've had my iPhone 7 for roughly 2 months and the battery life is already SHOCKING,battery_issue,AUTO_HANDLE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
2064323,@AppleSupport when is the next update coming out to fix the damage 11.0.2 is causing?,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
849912,"@AppleSupport bonjour , depuis la maj iOS 11.0.3 mon iPhone6+ fige et le clavier est lent. Solution ? #obsolescence",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
991133,@AppleSupport I’m AirPlaying from an iPad Pro 10.5” running iOS 11.0.3 to a 4th gen TV running tvOS 11.,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1588838,@AppleSupport I am still seeing the square with the question mark Inside even after updating to the new iOS,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,keyboard_autocorrect_bug,AUTO_HANDLE,reviewed
1850132,Ummm what @AppleSupport https://t.co/GeHtcf215B,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
723995,@AppleSupport WHY won’t Siri speak directions it’s dangerous as I drive and beg her to,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2051553,I’m so sick of @115858’s deliberate “make old phones start fucking up” after new ones come out. I have the 7+ &amp; has NEVER been buggy til now,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
2271648,@AppleSupport 11.1.2,context_provided,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1434468,@AppleSupport @115858 massive battery drainage lag while using phone hangs. Problem with ios11 Pl help serious issues with batter drainage,battery_issue,ESCALATE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
600439,@115858 why my music keep stopping fam the x got to many problems fam,app_feature_issue,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
620189,@AppleSupport iOS 11.1.1,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1726279,@521943 @115858 RT still fix I️t Apple!!!$,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2558613,Why every time I️ out I️ Issa question mark @AppleSupport,other_complaint,AUTO_HANDLE,Needs Human Review,keyboard_autocorrect_bug,AUTO_HANDLE,reviewed
2294661,"Okay, I’ve done all the updates and my phone is still locking itself 😠 @AppleSupport",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2410213,"how is this possible?
@AppleSupport https://t.co/2Q4iYx62Cs",other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
123066,"@AppleSupport Also I’ll get notifications for old, read texts, and not for newer ones.",other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
34610,"Oh great, iMessage not working after the latest iOS update. 😐 @AppleSupport",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1564068,@AppleSupport That one. Annoying as hell.,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1643355,@115858 updates are totally messing up my iPhone 7. Not even a year old and it’s acting all wonky. So annoyed. I️ swear they do this on purpose to make you upgrade. #timetogiveupiphone,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2078924,iASS11 @AppleSupport https://t.co/aVh1FHnlRD,context_provided,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1143581,"New iOS has pretty much slowed my phone down, made everything clunky &amp; doesn’t work. Good job @AppleSupport @115858 #iOS11 #Apple #AppleNews",other_complaint,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1688537,Wtf is up with this “i” changing to I️ thing ? It’s pissing me off @AppleSupport,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2485827,How do I stop that lil vibrate when I refresh my tl??? @115858 help me,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
940959,Why the fuck did my phone just make an alarm beeping sound @AppleSupport,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
539929,@AppleSupport Plz release ios 11.1.3 asap for solving the “spinning wheel black screen error” that i am facing from yesterday its coming again and again and stopping me to use my iphone i have to change date for temporary stop this problem,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
44561,Still no resoultion to my complaint. Poor service. Acknowledgement of your email/submission - Follow-up: 677035208 @116333 @AppleSupport,scam_phishing_report,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
564052,@AppleSupport @115858 como faço para ver esse defeito já que paguei caro por um aparelho https://t.co/dqBkrHl77f,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
566729,"@AppleSupport It’s hard to tell, nothing really reaches that far when I try. I have noticed that if I want to select something I have to start above it and drag my finger down to what I’m trying to press and then it’ll work",keyboard_autocorrect_bug,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1760189,@AppleSupport You have dm,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
434635,@115858 y'all not slick..... y'all release new phone my phone just randomly buggin? https://t.co/GufqeijYgc,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
373335,@AppleSupport My messenger app won't load after the upgrade. I have deleted it &amp; downloaded again but still no joy... Any tips? C,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2042672,"@AppleSupport iOS11 update sucks! Freezing, &amp; clock is stuck home screen",software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1810640,"@115858, This latest iPhone update is trash and it keeps freezing and shutting off my phone. NOBODY HAS TIME FOR THIS",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
327085,@AppleSupport Thanks!!! Restart did the trick!,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1453017,@AppleSupport See. IIIII couldn’t even say IIIIIIIII updated 😂,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2314053,Fuck you @115858! I pay a monthly fee for insurance and you guys can’t even send my replacement phone even though I’ve sent mine in days ago!,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1905350,"2/2 @AppleSupport 
I’m dying over here &amp; have never wanted to crush my phone so bad.",other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1786605,"@AppleSupport iOS 11 is awful, I’d like to use my phone for more than 30min at a time without it either dying or freezing up",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1589964,"Why am I seeing these little boxes with question marks in them instead of emojis? I’ve already updated my phone.

@AppleSupport",software_update_issue,ESCALATE,Needs Human Review,keyboard_autocorrect_bug,AUTO_HANDLE,reviewed
794578,"@AppleSupport there is an issue with iOS11 ,whenever I switch on data on my iPhone 7 the internet just doesn’t work .Only upon restart works",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
404106,"iOS 11 f**king load of shit, apps don’t download unless I go to passcode and back in again, emails freeze? Calendar freezes @AppleSupport",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
184128,what the hell is wrong with apple music now??! someone enlighten me @AppleSupport 😭 https://t.co/q4MfxN1vll,app_feature_issue,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1750439,"My phone loses its charge SO freaking fast now...haven’t even had it for a year. Wtf. Thanks, iPhone X... @AppleSupport @115858",battery_issue,AUTO_HANDLE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
2283821,@AppleSupport That actually made my night lol I never get anywhere with support from companies 😊,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1268366,"@AppleSupport since 11 update texts showing in reverse order, on iOS 11.0.3 now still the same??",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2069400,"@115858, 
The only update I wanna see is the one that is going to give me a better battery life and not issues w/ hidden photos.
#Seriously",software_update_issue,ESCALATE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
2801475,@AppleSupport 11.1.2,context_provided,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1967440,Hey @115858 your latest iPhone software update totally sucks. I’d like to be able to download email on my phone again. Please fix this.,software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1708543,@AppleSupport look what you guys did,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2775946,@AppleSupport Is a full backup required before downloading the latest iOS?,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2910524,Is any one else having issues with their iPhone or is it just me? 🤦🏻‍♀️ @AppleSupport,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
585971,"@AppleSupport Any app, 15sec in total.",other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1454648,@AppleSupport my phone is still lagging and apps are freezing. Update 11.3 helped but did not solve the issue. #stillloveyouguys,software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2376106,I got a new phone and my iMessage or FaceTime on my laptop won’t sync to my phone. HELP ☹️ @115858,app_feature_issue,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
56951,@115858 can you tell me when when I type the letter “I” some damn symbols pop up like I’m out here coding and doing a MySpace edit 🤨,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2751105,@AppleSupport Up to date with 11.1.2 🙂,other_complaint,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2519368,"My phone is out of memory and I don't have anything fucking on it. Besides clash of clans, everything else I use the mobile website. @AppleSupport PLEASE HELP ME MY CLAN NEEDS ME.",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1918305,@AppleSupport I've done everything you've told me to and my phone still won't update  now it keeps freezing and I can't get anything done,software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1686918,@512317 Damnit @AppleSupport help us in a time of need,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
426945,"@AppleSupport Hi guys im updating a macbook pro retina 13"" late 2013 and I'm stuck since 3-4 hours, What is the best way to proceed?",other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2446334,@AppleSupport I tried before https://t.co/T3Fixu06W4,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2210642,@AppleSupport how do I create a timer set up in home control? Let’s say I want a light to turn on at 5pm and turn off at 10pm?,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2371266,@684223 @571585 @AppleSupport I have to sign into my cloud every time I wake up my phone or iPad😡,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2492362,@116333 @115858 I have a 3 year old MB Pro and IP 6s and both are now useless. You are pushing me out of your products. Think on consumers!,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1231310,@AppleSupport I am looking to buy a few hundred tablets and am interested in the iPad Air 2.  Is this model still in production and available at this quantity?  Thanks.,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1202000,@AppleSupport Thanks. I’m just using the standard iPhone music app. Was fine until today. Update may be a coincidence,software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1978431,@AppleSupport if I buy an iPhone X now will I get it on release date (03/11/17)?,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1973670,@AppleSupport It says no service and I have to restart my phone to get it back. I restored my device as new but it still does it.,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2006544,"@115858 @AppleSupport So I updated my phone, as requested....Now my phone my is shutting off on its own. THANKS!!! #AppleNews #Apple #Samsung",software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1932245,This new @115858 update is killing my battery. How do I reverse it? Or do I just have to buy a Samsung?,software_update_issue,ESCALATE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
1545194,@AppleSupport is there a way to find out if an Apple Store has the iPhone X and pick it up?,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1337297,@AppleSupport Yes the whole phone has become slow since the latest update. Freezing all over the shop!,software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1487483,@AppleSupport then other times it does show up 2/2,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1432410,"I'm facing issues with MacBook Air after installing the latest update. So,I had to revert back using time machine..@115858 help me",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1297531,@AppleSupport I tried that already and it does not work. If i turn my phone off it takes at least 2 hours to turn on.,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2595513,"@AppleSupport Updated it a few hours ago. I hope the battery doesn’t drain out as fast as it is the case since the last few updates.
Thanks though. Will get back to you if any problem is seen.",software_update_issue,AUTO_HANDLE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
1091334,@AppleSupport Will do! I appreciate the help,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2619923,@AppleSupport I can ask you in English too,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2805960,"Every time I buy an audiobook in iTunes and try to get it downloaded and synced to my iPhone/iBooks, it's a hellish experience. It took a full hour to figure it out once again. Please make this easier!! @115858 @AppleSupport",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1967652,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️. Am tired of this bull shit @AppleSupport,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2404909,"@AppleSupport @115858 After installing MacOS High Sierra it won’t allow me to access my homepage, it keeps bumping my password. I’ve spoken to Apple support, wiped the memory and now there’s an error message, please advise. Was on the phone for 2 hrs yesterday trying to sort this. https://t.co/xPo3PylRrx",apple_id_icloud_issue,AUTO_HANDLE,Needs Human Review,apple_id_icloud_issue,ESCALATE,reviewed
1869281,"my phone is turned off and start again,photos are deleted and restored, and applications are not working @AppleSupport",other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
356821,Dear @AppleSupport is there any way I can stop the sun news appearing in my trending on the news app? It really is a vile rag. https://t.co/ShTjKHJfMh,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2799439,"@AppleSupport Thanks girl! 

Sis @107462 ⬇️",other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
904713,@AppleSupport What is the procedure to join DM?,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1247319,Has anyone had an issue with an @115858 AirPort Extreme router making a high-pitched squealing noise?  #askingforafriend @AppleSupport,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
596916,FIX IT @115858,context_provided,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1296837,"@AppleSupport I figured that. If I’m an Apple Music subscriber, is there a way I can purchase a single DRM-free song to use in a Photos slideshow?",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1980830,@AppleSupport I have received a phishing email claiming to be from you.  Do you have an address to forward it onto?,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2018182,@517282 @AppleSupport  https://t.co/IqaumeIOkY,context_provided,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
567700,"@AppleSupport I am in the US - what will that look like, a wallet app update or software update?",software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2555467,"@AppleSupport I only have an iPhone (so no other devices to sign out of), and I was using the phone's settings app it to do it as described in the link you sent",keyboard_autocorrect_bug,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1298522,@AppleSupport fix your buggy software. Constantly unusable WiFi sitting in the same room as router and loading wheel keeps spinning.,app_feature_issue,ESCALATE,Needs Human Review,connectivity_issue,ESCALATE,reviewed
1006712,@AppleSupport Lots of goofy things like this happen. did you guys give iOS LSD? It worked for Steve but this is a mess.,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1764471,"@530781 @AppleSupport Same thing happened to me, what’s up?",other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1002312,@AppleSupport @116333 Love this new feature of iOS 11. Can you figure out what’s wrong? https://t.co/73oRJtqgwM,software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
857089,"@AppleSupport 
My iPhone won’t respond at all; I can’t click any apps or even turn the phone off",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2614201,@115858 if y’all don’t fix this damn glitch I’m switching to @117159 🤬🤬🤬🤬,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
2120206,@115858 @AppleSupport Depuis que j’ai quitté l’IOS 10 pour la 11 je peux à peine me servir de mon téléphone! 😡 IOS 11.1 c’est de la 💩 aussi!,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
1841298,I am so disappointed in the new iOS. My camera and Siri doesn’t work at all anymore. And my screen is unresponsive. Thanks @AppleSupport 😐,hardware_device_issue,ESCALATE,Needs Human Review,hardware_device_issue,ESCALATE,reviewed
1907016,@AppleSupport hi.Trashing messages on Apple Watch Nike but still appears on iPhone 7. 😕🤔,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
1519164,@AppleSupport hey what going on with this - I️ - supposed to be an vowel after e,other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
888087,"@AppleSupport Nowhere, it just stays on lock screen",hardware_device_issue,ESCALATE,Needs Human Review,hardware_device_issue,ESCALATE,reviewed
2940396,"@AppleSupport thanks. the blue line at the top of the messages window starts progressing on my MacBook Pro when I hit return but then it hangs near the end. after some time it says ""not delivered"". I've tried logging in &amp; out of messages &amp; restarting computer.",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
40560,Hey @AppleSupport why can’t I download podcasts from @1922 ? New update is terrible https://t.co/AWxHdxT0Q2,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2025772,@AppleSupport is there an update coming soon to fix the question mark box? It’s so annoying. And my WiFi turning on by itself also.,software_update_issue,AUTO_HANDLE,Needs Human Review,connectivity_issue,ESCALATE,reviewed
289089,@AppleSupport @115858 You really need to fix this issue real quick.,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1419639,@AppleSupport why do i need Inbox in font 15 in mail inbox in ios11.1? i lose 2 out of 8 emails #ios11.1problems,keyboard_autocorrect_bug,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
2500892,"@AppleSupport My Daughter has an iPhone 6S which she updated and now can't use the front camera and the battery lasts an hour from full, what can she do. #gladigotridofmyiphone",software_update_issue,ESCALATE,Needs Human Review,battery_issue,AUTO_HANDLE,reviewed
817660,"@AppleSupport Yeah, was perfect on my home WiFi yesterday and this morning but won’t let me sign in to iCloud now I have signed out to see if that fixed",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,apple_id_icloud_issue,ESCALATE,reviewed
549576,@AppleSupport Nothing seems to improve it but please can you tell me what is the point in having a smart phone &amp; smart watch if you then switch off notifications? This is on a 2 day old iPhone 8+ #iphone #AppleWatch,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
171771,"Shout to @115858  @AppleSupport High Sierra Update for messing up my macbooks wifi, loving your updates recently.",software_update_issue,AUTO_HANDLE,Needs Human Review,connectivity_issue,ESCALATE,reviewed
1673568,@AppleSupport I️ did that and it’s still not fixing it unless I️ text someone. All internet site and messengers change it to the weird thing,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1556343,I️ just typed a whole paragraph and my phone deleted it.... @115858 is really pissing me off lately 🙂,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
1774221,How has @115858 still not fix this &gt; I️,other_complaint,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
816085,"@115858 #macbookpro 13 2017 nTB .. has only 1 fan and overheats

glue fails in clamshell

@AppleSupport not helping

https://t.co/TyBJYhzsGM https://t.co/Fw7J5Z4hXW",other_complaint,ESCALATE,Needs Human Review,other_complaint,ESCALATE,reviewed
2147721,@AppleSupport When will I be able to type 'I' or 'i' on my phone?,keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2949534,"I thought I was going to escape this epidemic, but my iPhone decided to suck and now whenever I type in “it” I get I.T 🙄. @115858 fix this haha",keyboard_autocorrect_bug,AUTO_HANDLE,Needs Human Review,other_complaint,ESCALATE,reviewed
2307533,@AppleSupport iOS 11.1.1,software_update_issue,ESCALATE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
978359,Can’t turn off speakerphone after iOS11 update. This is a joke right? @115858,software_update_issue,AUTO_HANDLE,Needs Human Review,software_update_issue,AUTO_HANDLE,reviewed
